Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;53Second
Enter;1;95Second
Enter;2;137Second
Enter;3;163Second
Enter;4;234Second
Enter;5;271Second
Enter;6;326Second
Enter;7;338Second
Enter;8;412Second
Enter;9;446Second
Enter;10;518Second
Enter;11;536Second
Enter;12;588Second
Enter;13;628Second
Enter;14;637Second
Enter;15;699Second
Enter;16;706Second
Enter;17;735Second
Enter;18;741Second
Enter;19;793Second
Enter;20;807Second
Enter;21;864Second
Enter;22;952Second
Enter;23;1077Second
Kelar di detik;1077
Out;22;1077Second
Out;21;1077Second
